pl_name,hostname,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,st_refname,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,sy_refname,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,rowupdate,pl_pubdate,releasedate
Teegarden's Star b,Teegarden's Star,1,1,2,Radial Velocity,2019,Calar Alto Observatory,Published Confirmed,0,<a refstr=ZECHMEISTER_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...627A..49Z/abstract target=ref>Zechmeister et al. 2019</a>,4.91,0.0014,-0.0014,0,0.0252,0.0008,-0.0009,0,,,,,,,,,1.05,0.13,-0.12,0,0.0033,0.00041,-0.00038,0,Msini,0,0.16,0,0,1.15,0.08,-0.08,0,,,,,0,<a refstr=ZECHMEISTER_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...627A..49Z/abstract target=ref>Zechmeister et al. 2019</a>,M7.0 V,2904,51,-51,0,0.11,0,0,0,0.09,0.01,-0.01,0,-0.19,0.16,-0.16,0,[Fe/H],,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,02h53m04.59s,43.2691449,+16d51m53.65s,16.8649024,3.83078,0.00398,-0.00397,15.13,0.2,-0.2,7.585,0.046,-0.046,12.2746,0.000992,-0.000992,2019-06-24 00:00:00,2019-07,2019-06-27 00:00:00
TOI-700 d,TOI-700,1,1,4,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=GILBERT_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230103617G/abstract target=ref>Gilbert et al. 2023</a>,37.42396,0.00039,-0.00035,0,0.1633,0.0027,-0.0027,0,1.073,0.059,-0.054,0,0.096,0.005,-0.005,0,,,,,,,,,,0.042,0.045,-0.03,0,0.85,0.09,-0.1,0,,,,,0,<a refstr=GILBERT_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230103617G/abstract target=ref>Gilbert et al. 2023</a>,M2.5 V,3459,65,-65,0,0.42,0.02,-0.01,0,0.41,0.02,-0.02,0,-0.07,0.11,-0.11,0,[Fe/H],4.81,0.03,-0.04,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,06h28m22.97s,97.0957165,-65d34m43.01s,-65.5786149,31.1265,0.0206,-0.0206,13.151,0.069,-0.069,8.634,0.023,-0.023,12.0665,0.000478,-0.000478,2023-01-18 00:00:00,2023-01,2023-01-18 00:00:00
TOI-700 d,TOI-700,0,1,4,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),TESS Project Candidate,0,<a refstr=EXOFOP_TESS_TOI href=https://exofop.ipac.caltech.edu/tess/view_toi.php target=ref>ExoFOP-TESS TOI</a>,37.42433658,0.00021029,-0.00021029,0,,,,,1.145,0.874,-0.874,0,0.102,0.078,-0.078,0,,,,,,,,,,,,,,0.88,,,0,247,,,0,0,<a refstr=EXOFOP_TESS_TOI href=https://exofop.ipac.caltech.edu/tess/view_toi.php target=ref>ExoFOP-TESS TOI</a>,,3482,,,0,0.42,0.01,-0.01,0,,,,,,,,,,4.44,,,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,06h28m22.97s,97.0957165,-65d34m43.01s,-65.5786149,31.1265,0.0206,-0.0206,13.151,0.069,-0.069,8.634,0.023,-0.023,12.0665,0.000478,-0.000478,2023-01-18 00:00:00,2017-07,2023-01-18 00:00:00
TOI-700 d,TOI-700,0,1,4,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=GILBERT_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....160..116G/abstract target=ref>Gilbert et al. 2020</a>,37.426,0.0007,-0.001,0,0.163,0.015,-0.015,0,1.19,0.11,-0.11,0,0.106,0.01,-0.01,0,,,,,,,,,,0.032,0.054,-0.023,0,0.86,0.19,-0.15,0,,,,,0,<a refstr=GILBERT_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....160..116G/abstract target=ref>Gilbert et al. 2020</a>,M2 V,3480,135,-135,0,0.42,0.03,-0.03,0,0.42,0.01,-0.01,0,-0.07,0.11,-0.11,0,[Fe/H],4.81,0.06,-0.06,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,06h28m22.97s,97.0957165,-65d34m43.01s,-65.5786149,31.1265,0.0206,-0.0206,13.151,0.069,-0.069,8.634,0.023,-0.023,12.0665,0.000478,-0.000478,2020-07-17 00:00:00,2020-09,2020-07-23 00:00:00
TOI-700 d,TOI-700,0,1,4,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=RODRIGUEZ_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....160..117R/abstract target=ref>Rodriguez et al. 2020</a>,37.42475,0.00036,-0.0004,0,0.1633,0.0026,-0.0027,0,1.144,0.062,-0.061,0,0.102,0.006,-0.005,0,,,,,,,,,,0.111,0.14,-0.078,0,0.85,0.1,-0.1,0,269,8,-8,0,0,<a refstr=RODRIGUEZ_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....160..117R/abstract target=ref>Rodriguez et al. 2020</a>,,3461,66,-66,0,0.42,0.02,-0.02,0,0.41,0.02,-0.02,0,-0.07,0.11,-0.11,0,[Fe/H],4.8,0.04,-0.04,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,06h28m22.97s,97.0957165,-65d34m43.01s,-65.5786149,31.1265,0.0206,-0.0206,13.151,0.069,-0.069,8.634,0.023,-0.023,12.0665,0.000478,-0.000478,2020-07-17 00:00:00,2020-09,2020-07-23 00:00:00
TRAPPIST-1 d,TRAPPIST-1,0,1,7,Transit,2016,La Silla Observatory,Published Confirmed,0,<a refstr=GILLON_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017Natur.542..456G/abstract target=ref>Gillon et al. 2017</a>,4.04961,6.3e-05,-6.3e-05,0,0.02144,0.00066,-0.00063,0,0.772,0.03,-0.03,0,0.069,0.003,-0.003,0,0.41,0.27,-0.27,0,0.00129,0.00085,-0.00085,0,Mass,0.07,,,1,1.14,0.09,-0.09,0,288,6,-6,0,1,<a refstr=GILLON_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017Natur.542..456G/abstract target=ref>Gillon et al. 2017</a>,,2559,50,-50,0,0.12,0,0,0,0.08,0.01,-0.01,0,0.04,0.08,-0.08,0,[Fe/H],,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,23h06m30.33s,346.6263919,-05d02m36.46s,-5.0434618,,,,17.02,0.2,-0.2,10.296,0.023,-0.023,15.6451,0.001448,-0.001448,2017-02-17 00:00:00,2017-02,2017-02-22 00:00:00
TRAPPIST-1 d,TRAPPIST-1,0,1,7,Transit,2016,La Silla Observatory,Published Confirmed,0,<a refstr=DUCROT_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...640A.112D/abstract target=ref>Ducrot et al. 2020</a>,4.04978035,2.66e-06,-2.66e-06,0,0.02226,0.00019,-0.00018,0,,,,,,,,,,,,,,,,,,,,,,1.11,0.04,-0.04,0,286,3,-3,0,1,<a refstr=DUCROT_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...640A.112D/abstract target=ref>Ducrot et al. 2020</a>,,2520,39,-39,0,0.12,0,0,0,0.09,0,0,0,0.053,0.088,-0.088,0,[Fe/H],,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,23h06m30.33s,346.6263919,-05d02m36.46s,-5.0434618,,,,17.02,0.2,-0.2,10.296,0.023,-0.023,15.6451,0.001448,-0.001448,2022-11-14 00:00:00,2020-08,2022-11-14 00:00:00
TRAPPIST-1 d,TRAPPIST-1,0,1,7,Transit,2016,La Silla Observatory,Published Confirmed,0,<a refstr=GRIMM_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...613A..68G/abstract target=ref>Grimm et al. 2018</a>,,,,,0.02228,0,0,0,0.784,0.023,-0.023,0,0.07,0.002,-0.002,0,0.297,0.039,-0.035,0,0.00093,0.00012,-0.00011,0,Mass,0.00837,0.00093,-0.00093,0,,,,,,,,,1,<a refstr=GRIMM_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...613A..68G/abstract target=ref>Grimm et al. 2018</a>,,,,,,,,,,0.09,0.01,-0.01,0,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,23h06m30.33s,346.6263919,-05d02m36.46s,-5.0434618,,,,17.02,0.2,-0.2,10.296,0.023,-0.023,15.6451,0.001448,-0.001448,2020-12-10 00:00:00,2018-05,2020-12-17 00:00:00
TRAPPIST-1 d,TRAPPIST-1,1,1,7,Transit,2016,La Silla Observatory,Published Confirmed,0,<a refstr=AGOL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021PSJ.....2....1A/abstract target=ref>Agol et al. 2021</a>,4.049219,2.6e-05,-2.6e-05,0,0.02227,0.00019,-0.00019,0,0.788,0.011,-0.01,0,0.07,0.001,-0.001,0,0.388,0.012,-0.012,0,0.00122,4e-05,-4e-05,0,Mass,,,,,1.11,0.04,-0.04,0,,,,,1,<a refstr=AGOL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021PSJ.....2....1A/abstract target=ref>Agol et al. 2021</a>,,2566,26,-26,0,0.12,0,0,0,0.09,0,0,0,,,,,,5.24,0.01,-0.01,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,23h06m30.33s,346.6263919,-05d02m36.46s,-5.0434618,,,,17.02,0.2,-0.2,10.296,0.023,-0.023,15.6451,0.001448,-0.001448,2022-11-14 00:00:00,2021-02,2022-11-14 00:00:00
LP 890-9 c,LP 890-9,1,1,2,Transit,2022,SPECULOOS Southern Observatory,Published Confirmed,0,<a refstr=DELREZ_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220902831D/abstract target=ref>Delrez et al. 2022</a>,8.457463,2.4e-05,-2.4e-05,0,0.03984,0.00022,-0.00022,0,1.367,0.055,-0.039,0,0.122,0.005,-0.003,0,25.3,,,1,0.0796,,,1,Mass,,,,,0.91,0.03,-0.03,0,272,2,-2,0,0,<a refstr=DELREZ_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220902831D/abstract target=ref>Delrez et al. 2022</a>,M6 V,2850,75,-75,0,0.16,0.01,-0.01,0,0.12,0,0,0,-0.028,0.089,-0.089,0,[Fe/H],5.13,0.05,-0.05,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,04h16m31.42s,64.1309096,-28d18m56.85s,-28.3157909,32.4298,0.0702,-0.0699,18,0.2,-0.2,11.344,0.023,-0.023,15.8213,0.000763,-0.000763,2022-09-14 00:00:00,2022-09,2022-09-14 00:00:00
